frame_idx,t_s,measured,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,pos_sd_x,pos_sd_y,pos_sd_z,vel_sd_x,vel_sd_y,vel_sd_z,acc_sd_x,acc_sd_y,acc_sd_z,jerk_sd_x,jerk_sd_y,jerk_sd_z
0,0.000000000,1,-0.022105575,0.648290621,2.445060228,-0.004780695,0.059459721,0.163005772,0.109385523,-0.564881474,-1.588614555,-0.994620208,2.134250655,6.358777854,0.000525506,0.001434881,0.007843106,0.022296352,0.045165415,0.148274639,0.594540984,0.902405284,1.812931861,9.959959440,11.416461533,14.274072313
1,0.011127726,1,-0.022152229,0.648917789,2.446777216,-0.003625087,0.053306067,0.145721954,0.098311198,-0.541116874,-1.517812645,-0.995819150,2.137301660,6.366898983,0.000389080,0.001123073,0.006688561,0.016816895,0.036631824,0.130669135,0.505174112,0.799142196,1.683295269,9.396386232,10.931521787,13.895690134
2,0.022255451,1,-0.022186710,0.649477953,2.448306260,-0.002592791,0.047417115,0.129226551,0.087221843,-0.517297597,-1.446907120,-0.997309985,2.145087763,6.377510697,0.000330726,0.000935976,0.005785473,0.012418752,0.029329642,0.114589192,0.422678017,0.701642531,1.558042172,8.799542517,10.425065215,13.508059729
3,0.033383177,1,-0.022210391,0.649974063,2.449656140,-0.001683978,0.041793892,0.113520883,0.076119474,-0.493337518,-1.375866885,-0.997635613,2.163413720,6.391176208,0.000319535,0.000849131,0.005119406,0.009106049,0.023250374,0.100018124,0.347925829,0.610430735,1.437385782,8.171729964,9.897032869,13.110911719
4,0.044510902,1,-0.022224646,0.650409089,2.450835654,-0.000898638,0.036438700,0.098606643,0.065040852,-0.469098071,-1.304656646,-0.992063858,2.195617480,6.408051576,0.000323386,0.000824305,0.004665472,0.006895237,0.018399851,0.086944331,0.281937207,0.526109227,1.321563821,7.521627995,9.349573191,12.704274769
5,0.055638628,1,-0.022230846,0.650786032,2.451853619,-0.000236027,0.031355537,0.084485919,0.054081565,-0.444417761,-1.233242007,-0.975559143,2.242711684,6.427826885,0.000325660,0.000825663,0.004386533,0.005730437,0.014789507,0.075362123,0.225859068,0.449349856,1.210837264,6.864516759,8.787331048,12.288546492
6,0.066766353,1,-0.022230346,0.651107951,2.452718879,0.000305923,0.026550238,0.071161152,0.043379087,-0.419129540,-1.161594203,-0.945717657,2.304789253,6.449807384,0.000321983,0.000830923,0.004237315,0.005344133,0.012394866,0.065271520,0.180909827,0.380886314,1.105488713,6.221498667,8.217494857,11.864543678
7,0.077894079,1,-0.022224471,0.651377978,2.453440305,0.000730908,0.022030457,0.058635051,0.033084379,-0.393078917,-1.089695234,-0.902422599,2.378713792,6.472673541,0.000313446,0.000830250,0.004172651,0.005329563,0.011076412,0.056675470,0.148119802,0.321499967,1.005820721,5.617728094,7.649616669,11.433533412
8,0.089021804,1,-0.022214494,0.651599341,2.454026801,0.001044267,0.017805254,0.046910423,0.023337628,-0.366179501,-1.017546817,-0.847738174,2.455302424,6.494191088,0.000302826,0.000821342,0.004154691,0.005381508,0.010542073,0.049571944,0.127591644,0.271971415,0.912154120,5.079529663,7.095211949,10.997246064
9,0.100149530,1,-0.022201620,0.651775370,2.454487300,0.001252741,0.013883952,0.035989900,0.014248782,-0.338482043,-0.945180766,-0.784598453,2.519105839,6.511188842,0.000292803,0.000805624,0.004155944,0.005364378,0.010439133,0.043938291,0.117520777,0.232938270,0.824826079,4.630228786,6.567130286,10.557870890
