# {"down_first":0,"dropped_frames":6,"exercise":"barbell_row","frame_period_s":0.011127771417291748,"frame_rate_hz":89.8652535624584,"line_high_m":0.12085011805913498,"line_low_m":-0.27482068535055426,"line_mid_m":-0.07698528364570964,"lost_frames":0,"n_reps":13,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_122658","smoother_nis":[0.42445746471409396,0.962244985171751,1.2768584765112452]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,423,472,378,423,0.414976,1.33153,0,1,0,0
2,525,589,473,525,0.404237,1.13654,0,0,0,0
3,646,707,591,646,0.377938,0.98868,0,0,0,0
4,763,824,709,763,0.387595,1.10656,0,0,0,0
5,877,936,826,877,0.405517,1.20705,0,0,0,0
6,989,1047,938,989,0.412131,1.19546,1,1,0,0
7,1102,1163,1049,1102,0.38321,1.0823,0,0,0,0
8,1218,1278,1165,1218,0.36606,1.04061,1,1,0,0
9,1334,1400,1280,1334,0.378946,1.05894,0,0,0,0
10,1457,1512,1402,1457,0.415799,1.11979,0,1,0,0
11,1573,1635,1515,1573,0.389771,0.996351,0,1,0,0
12,1694,1755,1638,1694,0.432401,1.17925,0,1,0,0
13,1815,1867,1757,1815,0.412544,1.05836,0,1,0,0
