# {"down_first":0,"dropped_frames":13,"exercise":"biceps_curl","frame_period_s":0.011127742155193372,"frame_rate_hz":89.86548987687453,"line_high_m":0.6084148109020553,"line_low_m":-0.0038220042233399823,"line_mid_m":0.30229640333935764,"lost_frames":0,"n_reps":14,"produced_by":"app: OfflinePipeline","session_id":"session_20260510_123539","smoother_nis":[2.295178960044208,1.4160565939432086,0.8085626921636986]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1715,1800,1617,1715,0.503358,1.042,1,1,0,0
2,1870,1942,1804,1870,0.533222,1.44224,1,0,0,0
3,2012,2091,1945,2012,0.597976,1.63364,0,0,0,0
4,2169,2253,2095,2169,0.579268,1.43192,0,0,0,0
5,2326,2402,2257,2326,0.563872,1.42012,2,0,0,0
6,2479,2554,2405,2479,0.631901,1.62598,0,1,0,0
7,2628,2702,2556,2628,0.59982,1.5441,1,1,0,0
8,2774,2847,2704,2774,0.605966,1.54955,0,1,0,0
9,2919,2990,2849,2919,0.633766,1.59006,1,1,0,0
10,3060,3136,2992,3060,0.639881,1.692,1,1,0,0
11,3210,3287,3139,3210,0.61512,1.49235,0,1,0,0
12,3360,3438,3291,3360,0.64708,1.65626,1,1,0,0
13,3515,3590,3441,3515,0.655542,1.64577,0,1,0,0
14,3665,3751,3594,3665,0.61434,1.59209,0,0,0,0
