# {"down_first":0,"dropped_frames":6,"exercise":"barbell_row","frame_period_s":0.01112754270270269,"frame_rate_hz":89.86710064542076,"line_high_m":0.254797537281361,"line_low_m":-0.024568158271606376,"line_mid_m":0.11511468950487731,"lost_frames":0,"n_reps":14,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_104741","smoother_nis":[0.7519802125058415,0.9514170328055928,0.5486685534780127]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,1069,1121,1024,1069,0.250988,0.827447,0,1,0,0
2,1184,1247,1135,1184,0.256374,0.811174,1,1,0,0
3,1295,1354,1249,1295,0.300661,0.982466,0,1,0,0
4,1403,1465,1356,1403,0.305567,0.981242,0,1,0,0
5,1512,1578,1467,1512,0.295028,0.99012,0,1,0,0
6,1625,1686,1579,1625,0.291271,0.957962,0,1,0,0
7,1734,1793,1688,1734,0.322621,1.05615,1,1,0,0
8,1842,1903,1795,1842,0.266231,0.893994,0,0,0,0
9,1956,2010,1905,1956,0.285545,0.923234,0,0,0,0
10,2063,2119,2012,2063,0.346011,1.07984,0,1,0,0
11,2170,2221,2121,2170,0.337768,1.05892,0,0,0,0
12,2272,2328,2223,2272,0.291453,0.95557,0,0,0,0
13,2379,2429,2330,2379,0.380366,1.13534,0,0,0,0
14,2475,2603,2430,2475,0.307662,0.984417,0,0,0,0
