# {"down_first":0,"dropped_frames":8,"exercise":"biceps_curl","frame_period_s":0.011127761098130838,"frame_rate_hz":89.86533689764178,"line_high_m":0.6300925555551296,"line_low_m":0.1067320355999951,"line_mid_m":0.36841229557756233,"lost_frames":0,"n_reps":31,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_122113","smoother_nis":[1.0616336683384473,2.4867114850552534,1.2916439558265524]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,729,799,655,729,0.495186,1.14712,0,1,0,0
2,863,930,800,863,0.524982,1.23975,0,0,0,0
3,994,1067,931,994,0.507694,1.23962,0,0,0,0
4,1129,1198,1069,1129,0.515631,1.34235,0,1,0,0
5,1263,1332,1200,1263,0.520888,1.3018,1,0,0,0
6,1402,1473,1334,1402,0.570566,1.3615,1,1,0,0
7,1537,1612,1475,1537,0.540201,1.33398,0,1,0,0
8,1681,1749,1614,1681,0.563415,1.34915,0,1,0,0
9,1815,1882,1751,1815,0.523441,1.29772,0,1,0,0
10,1950,2018,1884,1950,0.542755,1.24551,0,0,0,0
11,2087,2155,2020,2087,0.519966,1.21629,0,0,0,0
12,2218,2287,2157,2218,0.53024,1.30367,0,0,0,0
13,2350,2417,2289,2350,0.500568,1.282,0,0,0,0
14,2486,2555,2419,2486,0.487823,1.11149,0,0,0,0
15,2620,2691,2557,2620,0.507422,1.1884,0,0,0,0
16,2756,2825,2693,2756,0.52127,1.24768,0,0,0,0
17,2891,2956,2827,2891,0.479103,1.12618,0,0,0,0
18,3021,3083,2958,3021,0.534025,1.26109,0,1,0,0
19,3151,3214,3085,3151,0.488044,1.14049,0,0,0,0
20,3280,3347,3216,3280,0.486612,1.18837,1,0,0,0
21,3413,3482,3349,3413,0.527032,1.26927,0,0,0,0
22,3547,3616,3484,3547,0.490565,1.18611,0,0,0,0
23,3683,3754,3618,3683,0.514173,1.25443,1,0,0,0
24,3822,3892,3756,3822,0.543151,1.31967,1,1,0,0
25,3960,4028,3894,3960,0.539408,1.26275,0,1,0,0
26,4098,4169,4030,4098,0.547546,1.24755,0,1,0,0
27,4243,4311,4171,4243,0.585599,1.2394,0,1,0,0
28,4383,4449,4313,4383,0.556144,1.29383,2,1,0,0
29,4518,4590,4452,4518,0.530413,1.27565,0,1,0,0
30,4668,4738,4592,4668,0.522465,1.06074,0,1,0,0
31,4810,4889,4740,4810,0.519735,1.14187,0,1,0,0
