# {"down_first":1,"dropped_frames":15,"exercise":"back_squat","frame_period_s":0.011127783429040163,"frame_rate_hz":89.86515655852011,"line_high_m":0.6335683349768545,"line_low_m":0.2668210872842687,"line_mid_m":0.4501947111305616,"lost_frames":0,"n_reps":30,"produced_by":"app: OfflinePipeline","session_id":"session_20260511_123614","smoother_nis":[9.518565707397624,3.4869197209764593,2.1587156700065027]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,992,1094,1094,1154,0.406693,1.07647,0,0,1,0
2,1167,1287,1287,1355,0.527252,1.39393,1,0,1,0
3,1358,1434,1434,1501,0.436058,1.0717,0,0,1,0
4,1504,1572,1572,1629,0.433789,1.13168,0,0,0,0
5,1650,1713,1713,1772,0.450676,1.07848,1,0,0,0
6,1774,1857,1857,1916,0.475967,1.16021,0,0,0,0
7,1918,2009,2009,2068,0.445517,1.1822,0,0,0,0
8,2070,2149,2149,2207,0.418326,1.04254,0,0,1,0
9,2209,2289,2289,2368,0.333894,0.737957,1,0,0,0
10,2371,2428,2428,2492,0.383249,0.968689,0,0,0,0
11,2496,2560,2560,2619,0.362915,0.879936,0,0,0,0
12,2672,2723,2723,2772,0.354619,1.07496,0,0,0,0
13,2852,2911,2911,2984,0.333405,0.866982,0,0,0,0
14,2990,3061,3061,3112,0.278118,0.831317,0,0,1,0
15,3145,3199,3199,3260,0.309139,0.833472,1,0,0,0
16,3285,3339,3339,3413,0.369076,0.859776,0,0,1,0
17,3420,3474,3474,3526,0.292458,0.781634,0,0,1,0
18,3544,3599,3599,3653,0.349331,1.0064,0,0,1,0
19,3657,3720,3720,3778,0.375202,1.02393,0,0,1,0
20,3782,3849,3849,3897,0.333725,1.06024,1,0,1,0
21,3930,3981,3981,4035,0.335912,0.923686,1,0,1,0
22,4038,4098,4098,4155,0.378279,0.988511,0,0,1,0
23,4157,4224,4224,4293,0.39668,0.883395,0,0,1,0
24,4296,4369,4369,4444,0.366824,0.922358,0,0,1,0
25,4446,4513,4513,4583,0.356959,0.992366,0,0,0,0
26,4599,4661,4661,4740,0.447407,0.894505,0,0,0,0
27,4780,4834,4834,4910,0.368094,0.876159,2,0,0,0
28,4913,4976,4976,5033,0.309065,0.790137,2,0,1,0
29,5037,5118,5118,5228,0.389887,0.805722,1,0,0,0
30,5269,5349,5349,5410,0.431867,1.10081,0,0,1,0
