rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,rom_m,peak_velocity,gap_frames,confirmed
1,46,477,477,597,0.522573,0.992071,0,1
2,597,694,694,821,0.525195,0.942156,0,1
3,821,894,894,1068,0.565502,1.21923,0,1
4,1068,1179,1179,1293,0.528907,1.00985,0,1
5,1293,1372,1372,1538,0.514115,1.01825,0,1
6,1542,1617,1617,1784,0.560917,1.0771,0,1
7,1788,1864,1864,2042,0.552383,1.03548,0,1
8,2042,2122,2122,2348,0.516966,1.14955,0,1
9,2348,2422,2422,2595,0.540839,0.995345,0,1
10,2595,2673,2673,2817,0.534965,1.30161,0,1
11,2817,2922,2922,3046,0.536328,1.15924,0,1
12,3049,3124,3124,3353,0.532503,1.13376,0,1
13,3355,3426,3426,3632,0.539979,1.11963,0,1
14,3632,3705,3705,3880,0.56066,1.25595,0,1
15,3880,3949,3949,4109,0.547782,1.28139,0,1
16,4109,4173,4173,4416,0.578458,1.52797,0,1
