# {"down_first":1,"dropped_frames":35,"exercise":"bench_press","frame_period_s":0.011127824812967561,"frame_rate_hz":89.86482235366182,"line_high_m":0.39386413359148015,"line_low_m":0.022923151886116034,"line_mid_m":0.2083936427387981,"lost_frames":0,"n_reps":19,"produced_by":"app: OfflinePipeline","session_id":"session_20260517_125932","smoother_nis":[0.9530687557106359,0.6491115903132525,1.203221770149764]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,682,832,832,925,0.356041,0.544948,3,0,0,0
2,929,1059,1059,1144,0.368346,0.552451,1,0,1,0
3,1176,1298,1298,1377,0.328087,0.595636,0,0,0,0
4,1424,1533,1533,1615,0.377702,0.679073,1,0,0,0
5,1644,1756,1756,1843,0.336218,0.641788,1,0,0,0
6,1864,1987,1987,2078,0.380768,0.622748,1,0,0,0
7,2081,2207,2207,2298,0.36705,0.584409,0,0,1,0
8,2329,2435,2435,2516,0.375054,0.669419,0,0,0,0
9,2551,2652,2652,2732,0.337243,0.620197,1,0,1,0
10,2761,2862,2862,2942,0.363617,0.661106,0,0,0,0
11,2968,3080,3080,3162,0.390798,0.656634,3,0,0,0
12,3188,3308,3308,3385,0.30195,0.608706,1,0,0,0
13,3390,3498,3498,3592,0.368732,0.646694,2,0,0,0
14,3594,3717,3717,3807,0.311032,0.576895,0,0,0,0
15,3833,3959,3959,4046,0.411504,0.655696,2,0,0,0
16,4069,4187,4187,4283,0.402142,0.661422,1,0,1,0
17,4308,4411,4411,4502,0.387325,0.661613,2,0,1,0
18,5141,5235,5235,5328,0.313995,0.54127,0,0,0,0
19,5425,5551,5551,5660,0.372645,0.492713,0,0,0,0
