# which inertial sample is which camera frame, from the hardware trigger
# frame_period_s=0.011127701  (89.865821851 Hz, measured from this session's own trigger pulses -- the camera does not run at 90.000)
# trigger_pulses=6012  pulses_the_imu_missed=0
# t_bar_s is the exposure time in the BAR's clock, the same clock as esp_timestamp_us in imu/raw_imu.csv
# imu_sample is a row index into imu/raw_imu.csv; tagged=0 means the inertial stream missed that pulse and the time is interpolated
frame,video_row,t_bar_s,imu_sample,tagged
0,0,343.533072,3,1
1,1,343.544211,14,1
2,2,343.555346,25,1
3,3,343.566483,36,1
4,4,343.577622,47,1
5,5,343.588757,58,1
6,6,343.599895,69,1
7,7,343.611032,80,1
8,8,343.622170,91,1
9,9,343.633306,102,1
10,10,343.644443,113,1
11,11,343.655579,124,1
12,12,343.666716,135,1
13,13,343.676842,145,1
14,14,343.687978,156,1
15,15,343.699116,167,1
16,16,343.710253,178,1
17,17,343.721390,189,1
18,18,343.732525,200,1
19,19,343.743664,211,1
20,20,343.754799,222,1
21,21,343.765936,233,1
22,22,343.777075,244,1
23,23,343.788210,255,1
24,24,343.799346,266,1
25,25,343.810485,277,1
26,26,343.821623,288,1
27,27,343.832758,299,1
28,28,343.843895,310,1
29,29,343.855034,321,1
30,30,343.866170,332,1
31,31,343.877307,343,1
32,32,343.888444,354,1
33,33,343.899582,365,1
34,34,343.910717,376,1
35,35,343.921855,387,1
36,36,343.932990,398,1
37,37,343.944129,409,1
38,38,343.955265,420,1
39,39,343.966403,431,1
40,40,343.977540,442,1
41,41,343.988677,453,1
42,42,343.999813,464,1
43,43,344.010948,475,1
44,44,344.022094,486,1
45,45,344.033224,497,1
46,46,344.044359,508,1
47,47,344.055499,519,1
48,48,344.066634,530,1
49,49,344.077770,541,1
50,50,344.088908,552,1
51,51,344.100046,563,1
52,52,344.111183,574,1
53,53,344.122321,585,1
54,54,344.133457,596,1
55,55,344.144592,607,1
56,56,344.155731,618,1
57,57,344.166868,629,1
58,58,344.178004,640,1
59,59,344.189140,651,1
60,60,344.200277,662,1
61,61,344.211416,673,1
62,62,344.222553,684,1
63,63,344.233690,695,1
64,64,344.244826,706,1
65,65,344.255964,717,1
66,66,344.267098,728,1
67,67,344.278238,739,1
68,68,344.289372,750,1
69,69,344.300511,761,1
70,70,344.311648,772,1
71,71,344.322784,783,1
72,72,344.333922,794,1
73,73,344.345059,805,1
74,74,344.356195,816,1
75,75,344.367333,827,1
76,76,344.378470,838,1
77,77,344.389607,849,1
78,78,344.400744,860,1
79,79,344.411879,871,1
80,80,344.423017,882,1
81,81,344.434154,893,1
82,82,344.445291,904,1
83,83,344.456429,915,1
84,84,344.467566,926,1
85,85,344.478703,937,1
86,86,344.489838,948,1
87,87,344.500976,959,1
88,88,344.512113,970,1
89,89,344.523249,981,1
90,90,344.534387,992,1
91,91,344.545524,1003,1
92,92,344.556661,1014,1
93,93,344.567799,1025,1
94,94,344.578934,1036,1
95,95,344.590072,1047,1
96,96,344.601209,1058,1
97,97,344.612346,1069,1
98,98,344.623484,1080,1
99,99,344.634618,1091,1
100,100,344.645757,1102,1
101,101,344.656893,1113,1
102,102,344.668031,1124,1
103,103,344.679168,1135,1
104,104,344.690303,1146,1
105,105,344.701440,1157,1
106,106,344.712578,1168,1
107,107,344.723716,1179,1
108,108,344.734852,1190,1
109,109,344.745990,1201,1
110,110,344.757125,1212,1
111,111,344.768264,1223,1
112,112,344.779399,1234,1
113,113,344.790537,1245,1
114,114,344.801673,1256,1
115,115,344.812812,1267,1
116,116,344.823948,1278,1
117,117,344.835092,1289,1
118,118,344.846220,1300,1
119,119,344.857359,1311,1
120,120,344.868497,1322,1
121,121,344.879632,1333,1
122,122,344.890770,1344,1
123,123,344.901905,1355,1
124,124,344.912032,1365,1
125,125,344.923168,1376,1
126,126,344.934305,1387,1
127,127,344.945441,1398,1
128,128,344.956579,1409,1
129,129,344.967716,1420,1
130,130,344.978851,1431,1
131,131,344.989988,1442,1
132,132,345.001127,1453,1
133,133,345.012263,1464,1
134,134,345.023401,1475,1
135,135,345.034538,1486,1
136,136,345.045673,1497,1
137,137,345.056812,1508,1
138,138,345.067947,1519,1
139,139,345.079098,1530,1
140,140,345.090223,1541,1
141,141,345.101357,1552,1
142,142,345.112495,1563,1
143,143,345.123631,1574,1
144,144,345.134771,1585,1
145,145,345.145906,1596,1
146,146,345.157043,1607,1
147,147,345.168182,1618,1
148,148,345.179316,1629,1
149,149,345.190455,1640,1
150,150,345.201590,1651,1
151,151,345.212729,1662,1
152,152,345.223866,1673,1
153,153,345.235003,1684,1
154,154,345.246140,1695,1
155,155,345.257275,1706,1
