# {"down_first":1,"dropped_frames":0,"exercise":"bench_press","frame_period_s":0.011127719275210064,"frame_rate_hz":89.86567465156713,"line_high_m":0.4908408140116839,"line_low_m":-0.01969298404809433,"line_mid_m":0.23557391498179478,"lost_frames":0,"n_reps":14,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_125926","smoother_nis":[0.8274855447558728,0.917504241175379,0.8794833379268984]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,967,1068,1068,1129,0.386636,0.934869,0,0,1,0
2,1131,1218,1218,1280,0.457998,1.06409,0,0,0,0
3,1282,1364,1364,1425,0.527165,1.23411,0,0,0,0
4,1427,1507,1507,1577,0.541553,1.21302,0,0,1,0
5,1579,1667,1667,1730,0.512362,1.32126,0,0,0,0
6,1732,1806,1806,1879,0.495098,1.10649,0,0,0,0
7,1881,1959,1959,2029,0.463829,0.988877,0,0,1,0
8,2031,2124,2124,2187,0.509635,1.23478,0,0,0,0
9,2212,2292,2292,2353,0.50737,1.23624,0,0,0,0
10,2355,2446,2446,2506,0.54306,1.29157,0,0,1,0
11,2508,2587,2587,2650,0.518622,1.18951,0,0,1,0
12,2652,2719,2719,2784,0.545813,1.15,0,0,1,0
13,2805,2884,2884,2952,0.496229,0.953327,0,0,1,0
14,2954,3027,3027,3121,0.521065,1.13833,0,0,0,0
