# {"down_first":0,"dropped_frames":4,"exercise":"deadlift","frame_period_s":0.011127738734419943,"frame_rate_hz":89.86551750238654,"line_high_m":-0.04268571727571683,"line_low_m":-0.628281620792547,"line_mid_m":-0.3354836690341319,"lost_frames":0,"n_reps":12,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_131029","smoother_nis":[1.593156544331854,0.7216048251568945,0.3384584093092207]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,539,685,378,539,0.597586,0.988386,1,1,0,0
2,788,954,690,788,0.575703,1.12936,0,1,0,0
3,1120,1232,993,1120,0.584404,1.15163,0,0,0,0
4,1350,1500,1262,1350,0.586741,1.27028,0,0,0,0
5,1614,1768,1517,1614,0.582672,1.20673,0,0,0,0
6,1901,2053,1773,1901,0.572082,1.08502,0,0,0,0
7,2164,2327,2057,2164,0.568802,1.20513,0,1,0,0
8,2463,2656,2340,2463,0.578488,1.00957,0,0,0,0
9,2743,2938,2661,2743,0.574829,1.23002,0,0,0,0
10,3053,3212,2945,3053,0.605335,1.18237,0,0,0,0
11,3332,3493,3218,3332,0.591034,1.19672,2,1,0,0
12,3666,3798,3502,3666,0.571543,1.08348,0,1,0,0
