# real-time (causal) annotation produced during acquisition
# exercise=biceps_curl rom_prior_m=0.5 down_first=0
# gap_frames counts the frames of the rep on which the marker was NOT seen. A missing measurement is never interpolated or extrapolated: no boundary, rest or statistic in this file is derived from an unseen frame.
# confirmed=1 means the rep's cycle CLOSED (the bar returned to the level it started from). Provisional reps (confirmed=0) completed a concentric but never returned - typically an unrack/rack/pickup.
# down_first=1 means a rep of this exercise STARTS with the eccentric (bench, squat), so the phases run eccentric -> bottom_rest -> concentric. down_first=0 runs concentric -> top_rest -> eccentric. The bit moves only where the rep boundary is drawn.
rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,top_rest_start_frame,top_rest_end_frame,bottom_rest_start_frame,bottom_rest_end_frame,rom_m,peak_velocity,mean_velocity,confirmed,dropped_eccentric,tracking_gap,gap_frames
1,1476,1531,1531,1588,-1,-1,-1,-1,0.391704,1.0619,0.690151,1,0,0,0
2,1588,1645,1645,1705,-1,-1,-1,-1,0.40764,1.11461,0.688668,1,0,0,0
3,1705,1764,1764,1918,-1,-1,-1,-1,0.422556,1.02725,0.689579,1,1,0,0
4,1918,1974,1974,2036,-1,-1,-1,-1,0.374887,1.0281,0.647274,1,0,0,0
5,2036,2090,2090,2146,-1,-1,-1,-1,0.340481,0.998749,0.59408,1,0,0,0
6,2146,2205,2205,2262,-1,-1,-1,-1,0.438818,1.20938,0.69574,1,0,0,0
7,2262,2315,2315,2371,-1,-1,-1,-1,0.308767,0.865131,0.587181,1,0,0,0
8,2371,2428,2428,2484,-1,-1,-1,-1,0.371058,1.0041,0.606636,1,0,0,0
9,2484,2545,2545,2602,-1,-1,-1,-1,0.389101,1.04168,0.612541,1,0,0,0
10,2602,2672,2672,2733,-1,-1,-1,-1,0.325359,0.665911,0.426615,1,0,0,0
11,2733,2794,2794,2850,-1,-1,-1,-1,0.331445,0.85225,0.523114,1,0,0,0
12,2850,2912,2912,2972,-1,-1,-1,-1,0.374343,0.937275,0.59187,1,0,0,0
13,2972,3030,3030,3087,-1,-1,-1,-1,0.352969,0.988248,0.583361,1,0,0,0
14,3087,3146,3146,3201,-1,-1,-1,-1,0.356585,1.06064,0.584095,1,0,0,0
15,3201,3260,3260,3317,-1,-1,-1,-1,0.362988,1.07277,0.603083,1,0,0,0
16,3317,3375,3375,3427,-1,-1,-1,-1,0.370958,1.18626,0.62361,1,0,0,0
17,3427,3484,3484,3539,-1,-1,-1,-1,0.341212,1.0306,0.565217,1,0,0,0
18,3539,3596,3596,3658,-1,-1,-1,-1,0.41679,1.19506,0.690263,1,0,0,0
19,3658,3714,3714,3772,-1,-1,-1,-1,0.380367,1.1183,0.637442,1,0,0,0
20,3772,3835,3835,3896,-1,-1,-1,-1,0.397165,1.14619,0.612076,1,0,0,0
21,3896,3952,3952,4011,-1,-1,-1,-1,0.38826,1.34546,0.668493,1,0,0,0
22,4011,4068,4068,4123,-1,-1,-1,-1,0.346971,1.0159,0.604156,1,0,0,0
23,4123,4183,4183,4244,-1,-1,-1,-1,0.361521,1.02431,0.597423,1,0,0,0
24,4244,4302,4302,4359,-1,-1,-1,-1,0.379228,1.07811,0.618236,1,0,0,0
25,4359,4414,4414,4475,-1,-1,-1,-1,0.307625,0.963469,0.550774,1,0,0,0
26,4475,4537,4537,4602,-1,-1,-1,-1,0.412618,1.1184,0.64523,1,0,0,0
27,4602,4662,4662,4727,-1,-1,-1,-1,0.356491,1.05848,0.581704,1,0,0,0
28,4727,4789,4789,4854,-1,-1,-1,-1,0.370687,1.01069,0.551595,1,0,0,0
29,4854,4919,4919,4994,-1,-1,-1,-1,0.39398,1.02174,0.591647,1,0,0,0
30,4994,5057,5057,5122,-1,-1,-1,-1,0.439633,1.21202,0.659317,1,0,0,0
31,5122,5184,5184,5248,-1,-1,-1,-1,0.326653,0.938621,0.518679,1,0,0,0
32,5248,5333,5333,5407,-1,-1,-1,-1,0.490175,0.976238,0.515539,1,0,0,0
33,5407,5603,5603,5687,-1,-1,-1,-1,0.583267,0.936784,0.278558,1,0,0,0
34,5687,5885,5885,6011,-1,-1,-1,-1,0.529532,0.869407,0.393587,1,0,0,0
35,6011,6109,6109,6390,-1,-1,-1,-1,0.442083,1.03538,0.416268,0,1,0,0
