# real-time (causal) annotation produced during acquisition
# exercise=bench_press rom_prior_m=0.45 down_first=1
# gap_frames counts the frames of the rep on which the marker was NOT seen. A missing measurement is never interpolated or extrapolated: no boundary, rest or statistic in this file is derived from an unseen frame.
# confirmed=1 means the rep's cycle CLOSED (the bar returned to the level it started from). Provisional reps (confirmed=0) completed a concentric but never returned - typically an unrack/rack/pickup.
# down_first=1 means a rep of this exercise STARTS with the eccentric (bench, squat), so the phases run eccentric -> bottom_rest -> concentric. down_first=0 runs concentric -> top_rest -> eccentric. The bit moves only where the rep boundary is drawn.
rep_id,concentric_start_frame,concentric_end_frame,eccentric_start_frame,eccentric_end_frame,top_rest_start_frame,top_rest_end_frame,bottom_rest_start_frame,bottom_rest_end_frame,rom_m,peak_velocity,mean_velocity,confirmed,dropped_eccentric,tracking_gap,gap_frames
1,2310,2385,2154,2310,-1,-1,-1,-1,0.441214,0.896834,0.552099,1,0,0,0
2,2498,2563,2385,2498,-1,-1,-1,-1,0.45319,1.15281,0.692661,1,0,0,0
3,2682,2759,2563,2677,2762,2768,2680,2682,0.411777,0.95114,0.49797,1,0,0,0
4,2864,2931,2768,2864,-1,-1,-1,-1,0.436333,1.04829,0.603996,1,0,0,0
5,3055,3129,2931,3052,3130,3134,3052,3055,0.414391,1.05524,0.520221,1,0,0,0
6,3230,3295,3134,3230,-1,-1,-1,-1,0.420948,0.961168,0.610108,1,0,0,0
7,3397,3474,3313,3397,-1,-1,-1,-1,0.417524,0.834766,0.511575,1,0,0,0
8,3601,3662,3494,3597,-1,-1,3600,3601,0.397813,1.0106,0.607991,1,0,0,0
9,3775,3859,3662,3775,-1,-1,-1,-1,0.444411,0.914885,0.479822,1,0,0,0
10,3948,4049,3859,3948,-1,-1,-1,-1,0.449571,0.763961,0.430014,1,0,0,0
11,4142,4213,4049,4142,-1,-1,-1,-1,0.401258,0.95891,0.584728,1,0,0,0
12,4318,4383,4213,4314,-1,-1,4317,4318,0.427457,0.936002,0.617685,1,0,0,0
13,4503,4578,4383,4499,-1,-1,4502,4503,0.44448,0.900955,0.531152,1,0,0,0
14,4679,4762,4578,4677,-1,-1,4677,4679,0.415618,0.788493,0.445402,1,0,0,0
15,4877,4949,4762,4874,-1,-1,4876,4877,0.425239,0.98421,0.577813,1,0,0,0
16,5049,5127,4967,5049,-1,-1,-1,-1,0.426647,1.01987,0.502848,1,0,0,0
17,5242,5319,5149,5239,-1,-1,5239,5242,0.413365,0.902063,0.471216,1,0,0,0
18,5432,5504,5319,5432,-1,-1,-1,-1,0.399369,0.906373,0.545475,1,0,0,0
19,5618,5694,5504,5613,-1,-1,5613,5618,0.42165,0.827424,0.480088,1,0,0,0
20,5804,5878,5694,5804,-1,-1,-1,-1,0.42301,0.889132,0.54004,1,0,0,0
21,6121,6204,5907,6121,-1,-1,-1,-1,0.442778,0.979969,0.543253,1,0,0,0
22,6322,6389,6218,6319,-1,-1,6319,6322,0.40427,0.91613,0.554229,1,0,0,0
23,6512,6582,6389,6506,-1,-1,6506,6512,0.404145,0.911514,0.544153,1,0,0,0
24,6702,6805,6609,6702,-1,-1,-1,-1,0.441031,0.726714,0.39487,1,0,0,0
25,6906,6969,6805,6906,-1,-1,-1,-1,0.396871,1.12938,0.62259,1,0,0,0
26,7059,7177,6969,7059,7177,7183,-1,-1,0.416838,0.701791,0.454751,1,0,0,0
27,7290,7371,7183,7290,-1,-1,-1,-1,0.376727,0.75672,0.461174,1,0,0,0
28,-1,-1,7412,7650,-1,-1,-1,-1,0,0,0,0,0,0,0
