esp_timestamp_us,host_timestamp_s,unified_time_s,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temperature_c,fsync_flag
869024312,22237.867979,1777901069.472339,-465,-1896,-590,-2,-1,-2,-0.227051,-0.925781,-0.288086,-0.122070,-0.061035,-0.122070,21.12,0
869025324,22237.868016,1777901069.473351,-467,-1892,-590,-3,-1,-2,-0.228027,-0.923828,-0.288086,-0.183105,-0.061035,-0.122070,21.29,0
869026335,22237.868024,1777901069.474362,-472,-1894,-591,-3,-1,-1,-0.230469,-0.924805,-0.288574,-0.183105,-0.061035,-0.061035,21.07,0
869027348,22237.868031,1777901069.475375,-473,-1895,-590,-3,-2,-1,-0.230957,-0.925293,-0.288086,-0.183105,-0.122070,-0.061035,21.12,0
869028361,22237.868037,1777901069.476388,-470,-1895,-589,-4,-2,-1,-0.229492,-0.925293,-0.287598,-0.244141,-0.122070,-0.061035,21.18,0
869029372,22237.868043,1777901069.477399,-468,-1897,-592,-4,-1,-1,-0.228516,-0.926270,-0.289062,-0.244141,-0.061035,-0.061035,21.11,1
869030385,22237.868050,1777901069.478412,-468,-1900,-593,-3,0,-1,-0.228516,-0.927734,-0.289551,-0.183105,0.000000,-0.061035,21.32,0
869031396,22237.868056,1777901069.479423,-469,-1898,-593,-3,-1,0,-0.229004,-0.926758,-0.289551,-0.183105,-0.061035,0.000000,21.35,0
869032410,22237.875995,1777901069.480437,-468,-1895,-592,-3,-2,0,-0.228516,-0.925293,-0.289062,-0.183105,-0.122070,0.000000,21.23,0
869033422,22237.876024,1777901069.481449,-466,-1896,-591,-4,-1,0,-0.227539,-0.925781,-0.288574,-0.244141,-0.061035,0.000000,21.32,0
869034435,22237.876034,1777901078.576721,-465,-1899,-592,-4,-1,0,-0.227051,-0.927246,-0.289062,-0.244141,-0.061035,0.000000,21.11,0
869035445,22237.876044,1777901077.024235,-468,-1899,-592,-3,-1,0,-0.228516,-0.927246,-0.289062,-0.183105,-0.061035,0.000000,21.29,0
869036459,22237.876053,1777901075.433831,-471,-1899,-588,-2,-2,0,-0.229980,-0.927246,-0.287109,-0.122070,-0.122070,0.000000,21.24,0
869037471,22237.876063,1777901073.877785,-468,-1899,-587,-2,-2,0,-0.228516,-0.927246,-0.286621,-0.122070,-0.122070,0.000000,21.20,0
869038483,22237.876073,1777901072.183115,-467,-1898,-588,-3,-2,-1,-0.228027,-0.926758,-0.287109,-0.183105,-0.122070,-0.061035,21.17,0
869039495,22237.876083,1777901070.591944,-468,-1896,-589,-3,-2,-1,-0.228516,-0.925781,-0.287598,-0.183105,-0.122070,-0.061035,21.21,0
869040506,22237.884086,1777901069.476797,-466,-1898,-593,-3,-2,-1,-0.227539,-0.926758,-0.289551,-0.183105,-0.122070,-0.061035,21.21,1
869041521,22237.884105,1777901069.477812,-466,-1900,-593,-3,-2,0,-0.227539,-0.927734,-0.289551,-0.183105,-0.122070,0.000000,21.42,0
869042532,22237.884115,1777901069.478823,-470,-1897,-590,-3,-2,1,-0.229492,-0.926270,-0.288086,-0.183105,-0.122070,0.061035,21.23,0
869043545,22237.884125,1777901069.479836,-471,-1896,-591,-4,-2,0,-0.229980,-0.925781,-0.288574,-0.244141,-0.122070,0.000000,21.30,0
869044558,22237.884134,1777901069.480850,-470,-1899,-591,-4,-2,0,-0.229492,-0.927246,-0.288574,-0.244141,-0.122070,0.000000,21.35,0
869045569,22237.884143,1777901069.481861,-471,-1898,-591,-3,-2,0,-0.229980,-0.926758,-0.288574,-0.183105,-0.122070,0.000000,21.35,0
869046581,22237.884153,1777901069.482873,-470,-1897,-592,-3,-1,0,-0.229492,-0.926270,-0.289062,-0.183105,-0.061035,0.000000,21.29,0
869047592,22237.884162,1777901069.483885,-469,-1899,-591,-3,0,0,-0.229004,-0.927246,-0.288574,-0.183105,0.000000,0.000000,21.17,0
869048604,22237.892192,1777901069.484897,-469,-1898,-592,-3,-2,0,-0.229004,-0.926758,-0.289062,-0.183105,-0.122070,0.000000,21.12,0
869049617,22237.892224,1777901069.485910,-470,-1897,-595,-3,-2,0,-0.229492,-0.926270,-0.290527,-0.183105,-0.122070,0.000000,21.33,0
869050629,22237.892234,1777901069.486922,-469,-1899,-593,-3,-1,-1,-0.229004,-0.927246,-0.289551,-0.183105,-0.061035,-0.061035,21.23,0
869051644,22237.892242,1777901069.487938,-469,-1897,-589,-3,-1,-1,-0.229004,-0.926270,-0.287598,-0.183105,-0.061035,-0.061035,21.12,1
869052656,22237.892252,1777901069.488950,-468,-1896,-589,-3,0,1,-0.228516,-0.925781,-0.287598,-0.183105,0.000000,0.061035,21.14,0
