timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901229.017602,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603164,3.023968,0.856710,depth,1
1777901229.028729,-0.298422,0.105748,2.665000,373.548615,258.576385,0.618800,3.044427,0.894779,depth,1
1777901229.039857,-0.300301,0.107616,2.692000,373.731934,258.703949,0.603233,3.027418,0.856710,depth,1
1777901229.050984,-0.298868,0.106468,2.675000,373.657135,258.628571,0.608711,3.037071,0.869924,depth,1
1777901229.062111,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603047,3.018142,0.856710,depth,1
1777901229.073239,-0.298200,0.106103,2.665000,373.584503,258.633789,0.613076,3.006757,0.882351,depth,1
1777901229.084366,-0.296620,0.106296,2.659000,373.731934,258.703949,0.602931,3.012347,0.856710,depth,1
1777901229.095493,-0.297847,0.106736,2.670000,373.731934,258.703949,0.602792,3.005406,0.856710,depth,1
1777901229.106621,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603333,3.032464,0.856710,depth,1
1777901229.117748,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603139,3.022728,0.856710,depth,1
1777901229.128875,-0.298294,0.106761,2.670000,373.659760,258.708038,0.607639,3.008090,0.868692,depth,1
1777901229.140002,-0.300768,0.107145,2.692000,373.657135,258.628571,0.608718,3.037421,0.869924,depth,1
1777901229.151130,-0.296620,0.106296,2.659000,373.731934,258.703949,0.603520,3.041787,0.856710,depth,1
1777901229.162257,-0.301221,0.107178,2.692000,373.584503,258.633789,0.613858,3.045854,0.882351,depth,1
1777901229.173384,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603403,3.035944,0.856710,depth,1
1777901229.184512,-0.298310,0.106269,2.670000,373.657135,258.628571,0.609206,3.061800,0.869924,depth,1
1777901229.195639,-0.299771,0.106346,2.681000,373.619720,258.570435,0.613456,3.025771,0.882351,depth,1
1777901229.206766,-0.297065,0.106322,2.659000,373.659760,258.708038,0.608133,3.032786,0.868692,depth,1
1777901229.217894,-0.300536,0.107254,2.692000,373.694244,258.645966,0.607865,3.019418,0.868692,depth,1
