imu_rate_hz,imu_total,cam_trig_rate,cam_trig_total,fsync_hits,tmst_fsync_us,espnow_sent,espnow_fail
988.0,4940,63.8,319,324,279,617,0
987.8,9879,89.8,768,778,656,1234,0
987.8,14818,89.8,1217,1234,95,1852,0
988.0,19758,90.0,1667,1690,477,2469,0
987.8,24697,89.8,2116,2141,834,3087,0
987.8,29636,89.8,2565,2596,289,3704,0
987.8,34575,90.0,3015,3049,670,4321,0
987.8,39514,89.8,3464,3503,107,4939,0
988.0,44454,89.8,3913,3957,480,5556,0
987.8,49393,90.0,4363,4411,834,6174,0
987.8,54332,89.8,4812,4865,295,6791,0
987.8,59271,89.8,5261,5318,667,7408,0
