t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
0.215,0,1777799530612.919,0.000,0
0.224,1,1777799530624.108,11.188,0
0.235,2,1777799530635.300,11.193,0
0.245,3,1777799530646.495,11.195,0
0.256,4,1777799530657.693,11.198,0
0.268,5,1777799530668.814,11.120,0
0.279,6,1777799530679.933,11.119,0
0.290,7,1777799530691.051,11.118,0
0.301,8,1777799530702.169,11.119,0
0.312,9,1777799530713.286,11.117,0
0.323,10,1777799530724.402,11.116,0
0.334,11,1777799530735.519,11.117,0
0.345,12,1777799530746.634,11.115,0
0.357,13,1777799530757.748,11.114,0
0.367,14,1777799530768.861,11.113,0
0.379,15,1777799530779.972,11.111,0
0.390,16,1777799530791.081,11.109,0
0.401,17,1777799530802.191,11.110,0
0.412,18,1777799530813.298,11.107,0
0.423,19,1777799530824.404,11.106,0
0.435,20,1777799530835.510,11.106,0
0.446,21,1777799530846.615,11.104,0
0.456,22,1777799530857.717,11.103,0
0.468,23,1777799530868.824,11.107,0
0.479,24,1777799530879.929,11.105,0
0.490,25,1777799530891.033,11.104,0
0.501,26,1777799530902.137,11.104,0
0.512,27,1777799530913.238,11.102,0
0.523,28,1777799530924.339,11.101,0
0.534,29,1777799530935.440,11.101,0
0.545,30,1777799530946.538,11.099,0
0.557,31,1777799530957.636,11.097,0
0.568,32,1777799530968.740,11.104,0
0.579,33,1777799530979.842,11.102,0
0.590,34,1777799530990.944,11.101,0
0.601,35,1777799531002.044,11.100,0
0.612,36,1777799531013.145,11.101,0
0.623,37,1777799531024.243,11.099,0
0.634,38,1777799531035.341,11.098,0
0.646,39,1777799531046.439,11.098,0
0.657,40,1777799531057.535,11.096,0
0.668,41,1777799531068.637,11.102,0
0.679,42,1777799531079.738,11.102,0
0.690,43,1777799531090.838,11.100,0
0.701,44,1777799531101.938,11.099,0
0.712,45,1777799531113.037,11.099,0
0.723,46,1777799531124.135,11.098,0
0.735,47,1777799531135.232,11.097,0
0.746,48,1777799531146.329,11.097,0
0.757,49,1777799531157.424,11.095,0
0.768,50,1777799531168.525,11.101,0
0.779,51,1777799531179.626,11.101,0
0.790,52,1777799531190.725,11.099,0
0.801,53,1777799531201.824,11.099,0
0.812,54,1777799531212.923,11.099,0
0.824,55,1777799531224.021,11.098,0
0.835,56,1777799531235.117,11.097,0
0.846,57,1777799531246.215,11.097,0
0.857,58,1777799531257.310,11.095,0
0.868,59,1777799531268.411,11.101,0
0.879,60,1777799531279.512,11.101,0
0.890,61,1777799531290.611,11.099,0
0.901,62,1777799531301.710,11.099,0
0.913,63,1777799531312.810,11.099,0
0.924,64,1777799531323.907,11.098,0
0.935,65,1777799531335.005,11.097,0
0.946,66,1777799531346.103,11.098,0
0.957,67,1777799531357.199,11.096,0
0.968,68,1777799531368.300,11.101,0
0.979,69,1777799531379.401,11.101,0
0.990,70,1777799531390.501,11.100,0
1.002,71,1777799531401.600,11.099,0
1.013,72,1777799531412.700,11.100,0
1.024,73,1777799531423.799,11.098,0
1.035,74,1777799531434.897,11.098,0
1.046,75,1777799531445.994,11.097,0
1.057,76,1777799531457.092,11.098,0
1.068,77,1777799531468.194,11.102,0
1.079,78,1777799531479.295,11.101,0
1.091,79,1777799531490.397,11.102,0
1.102,80,1777799531501.498,11.101,0
1.113,81,1777799531512.598,11.100,0
1.124,82,1777799531523.699,11.101,0
1.135,83,1777799531534.799,11.099,0
1.146,84,1777799531545.898,11.099,0
1.157,85,1777799531556.998,11.100,0
1.169,86,1777799531568.100,11.103,0
1.180,87,1777799531579.203,11.102,0
1.191,88,1777799531590.306,11.103,0
1.202,89,1777799531601.408,11.102,0
1.213,90,1777799531612.509,11.101,0
