timestamp_s,depth_m,pixel_u,pixel_v
1777992358.030334,2.227000,343.107697,426.953857
1777992358.041457,2.230000,343.107697,426.953857
1777992358.052578,2.223000,343.107697,426.953857
1777992358.063700,2.227000,343.107697,426.953857
1777992358.074821,2.227000,343.107697,426.953857
1777992358.085944,2.238000,343.107697,426.953857
1777992358.097065,2.249000,343.107697,426.953857
1777992358.108186,2.242000,343.107697,426.953857
1777992358.119309,2.230000,343.107697,426.953857
1777992358.130430,2.230000,343.107697,426.953857
1777992358.141551,2.227000,343.107697,426.953857
1777992358.152673,2.223000,343.107697,426.953857
1777992358.163795,2.223000,343.107697,426.953857
1777992358.174916,2.227000,343.107697,426.953857
1777992358.186038,2.234000,343.107697,426.953857
1777992358.197160,2.227000,343.107697,426.953857
1777992358.208281,2.227000,343.107697,426.953857
1777992358.219403,2.227000,343.107697,426.953857
1777992358.230525,2.230000,343.107697,426.953857
1777992358.241646,2.230000,343.107697,426.953857
1777992358.252768,2.230000,343.107697,426.953857
1777992358.263889,2.227000,343.107697,426.953857
1777992358.275010,2.230000,343.107697,426.953857
1777992358.286133,2.230000,343.107697,426.953857
1777992358.297254,2.227000,343.107697,426.953857
1777992358.308375,2.227000,343.107697,426.953857
1777992358.319497,2.230000,343.107697,426.953857
1777992358.330618,2.238000,343.107697,426.953857
1777992358.341739,2.223000,343.107697,426.953857
1777992358.352861,2.230000,343.107697,426.953857
1777992358.363982,2.227000,343.107697,426.953857
1777992358.375103,2.242000,343.107697,426.953857
1777992358.386225,2.223000,343.107697,426.953857
1777992358.397346,2.227000,343.107697,426.953857
1777992358.408467,2.230000,343.107697,426.953857
1777992358.419589,2.238000,343.107697,426.953857
1777992358.430710,2.227000,343.107697,426.953857
1777992358.441831,2.230000,343.107697,426.953857
1777992358.452953,2.230000,343.107697,426.953857
1777992358.464074,2.230000,343.107697,426.953857
1777992358.475195,2.227000,343.107697,426.953857
1777992358.486317,2.230000,343.107697,426.953857
1777992358.497437,2.227000,343.107697,426.953857
1777992358.508558,2.246000,343.107697,426.953857
1777992358.519679,2.242000,343.107697,426.953857
1777992358.530801,2.219000,343.107697,426.953857
1777992358.541922,2.227000,343.107697,426.953857
1777992358.553042,2.219000,343.107697,426.953857
1777992358.564164,2.230000,343.107697,426.953857
1777992358.575285,2.223000,343.107697,426.953857
1777992358.586406,2.223000,343.107697,426.953857
1777992358.597528,2.246000,343.053040,426.969696
1777992358.608648,2.230000,343.107697,426.953857
1777992358.619769,2.230000,343.107697,426.953857
1777992358.630892,2.246000,343.107697,426.953857
1777992358.642014,2.234000,343.107697,426.953857
1777992358.653136,2.227000,343.107697,426.953857
1777992358.664259,2.219000,343.107697,426.953857
1777992358.675381,2.227000,343.107697,426.953857
1777992358.686503,2.238000,343.107697,426.953857
1777992358.697626,2.227000,343.107697,426.953857
1777992358.708748,2.227000,343.107697,426.953857
1777992358.719870,2.227000,343.107697,426.953857
1777992358.730993,2.246000,343.107697,426.953857
1777992358.742115,2.242000,343.107697,426.953857
1777992358.753237,2.223000,343.107697,426.953857
1777992358.764360,2.219000,343.107697,426.953857
1777992358.775482,2.242000,343.107697,426.953857
1777992358.786604,2.227000,343.107697,426.953857
1777992358.797727,2.227000,343.107697,426.953857
1777992358.808849,2.227000,343.107697,426.953857
1777992358.819970,2.230000,343.107697,426.953857
1777992358.831093,2.230000,343.107697,426.953857
1777992358.842215,2.227000,343.107697,426.953857
1777992358.853337,2.230000,343.107697,426.953857
1777992358.864460,2.230000,343.107697,426.953857
1777992358.886703,2.230000,343.107697,426.953857
1777992358.897826,2.230000,343.107697,426.953857
1777992358.908947,2.223000,343.107697,426.953857
1777992358.920069,2.238000,343.107697,426.953857
1777992358.931192,2.230000,343.107697,426.953857
1777992358.942314,2.223000,343.107697,426.953857
1777992358.953435,2.234000,343.107697,426.953857
1777992358.964557,2.234000,343.107697,426.953857
1777992358.975680,2.234000,343.053040,426.969696
1777992358.986801,2.242000,343.107697,426.953857
1777992358.997923,2.234000,343.107697,426.953857
1777992359.020167,2.238000,343.107697,426.953857
1777992359.031289,2.253000,343.107697,426.953857
1777992359.042411,2.227000,343.107697,426.953857
1777992359.053533,2.230000,343.107697,426.953857
1777992359.064654,2.230000,343.107697,426.953857
1777992359.075777,2.230000,343.107697,426.953857
1777992359.086898,2.227000,343.107697,426.953857
1777992359.098020,2.230000,343.107697,426.953857
1777992359.109142,2.223000,343.107697,426.953857
1777992359.120264,2.242000,343.107697,426.953857
