timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777992358.030334,-0.406561,0.957807,2.227000,343.107697,426.953857,0.628575,3.448125,0.899032,depth,1
1777992358.041457,-0.407109,0.959097,2.230000,343.107697,426.953857,0.630783,3.558525,0.899032,depth,1
1777992358.052578,-0.405831,0.956086,2.223000,343.107697,426.953857,0.630428,3.540781,0.899032,depth,1
1777992358.063700,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630036,3.521147,0.899032,depth,1
1777992358.074821,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630533,3.545995,0.899032,depth,1
1777992358.085944,-0.408569,0.962538,2.238000,343.107697,426.953857,0.630021,3.520388,0.899032,depth,1
1777992358.097065,-0.410577,0.967269,2.249000,343.107697,426.953857,0.629555,3.497083,0.899032,depth,1
1777992358.108186,-0.409299,0.964258,2.242000,343.107697,426.953857,0.630251,3.531923,0.899032,depth,1
1777992358.119309,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629337,3.486234,0.899032,depth,1
1777992358.130430,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629959,3.517315,0.899032,depth,1
1777992358.141551,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630149,3.526786,0.899032,depth,1
1777992358.152673,-0.405831,0.956086,2.223000,343.107697,426.953857,0.630341,3.536398,0.899032,depth,1
1777992358.163795,-0.405831,0.956086,2.223000,343.107697,426.953857,0.630226,3.530665,0.899032,depth,1
1777992358.174916,-0.406561,0.957807,2.227000,343.107697,426.953857,0.629993,3.519013,0.899032,depth,1
1777992358.186038,-0.407839,0.960817,2.234000,343.107697,426.953857,0.629973,3.518023,0.899032,depth,1
1777992358.197160,-0.406561,0.957807,2.227000,343.107697,426.953857,0.629463,3.492519,0.899032,depth,1
1777992358.208281,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630442,3.541458,0.899032,depth,1
1777992358.219403,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630017,3.520193,0.899032,depth,1
1777992358.230525,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629549,3.496802,0.899032,depth,1
1777992358.241646,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629590,3.498841,0.899032,depth,1
1777992358.252768,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629927,3.515727,0.899032,depth,1
1777992358.263889,-0.406561,0.957807,2.227000,343.107697,426.953857,0.630182,3.528448,0.899032,depth,1
1777992358.275010,-0.407109,0.959097,2.230000,343.107697,426.953857,0.630157,3.527226,0.899032,depth,1
1777992358.286133,-0.407109,0.959097,2.230000,343.107697,426.953857,0.629890,3.513836,0.899032,depth,1
1777992358.297254,-0.406561,0.957807,2.227000,343.107697,426.953857,0.629730,3.505864,0.899032,depth,1
