kind,hw_timestamp_s,host_timestamp_s,unified_time_s,x,y,z
accel,1777992358.038049,26321.006132,1777992358.038049,0.431493,-9.129991,1.225831
gyro,1777992358.037294,26321.006132,1777992358.037294,0.001065,0.004793,-0.000532
accel,1777992358.045870,26321.017294,1777992358.045870,0.431493,-9.110377,1.255251
gyro,1777992358.047296,26321.017294,1777992358.047296,-0.000532,-0.001065,0.000000
accel,1777992358.057604,26321.028564,1777992358.057604,0.431493,-9.110377,1.225831
gyro,1777992358.057299,26321.028564,1777992358.057299,0.004260,0.000532,0.001065
accel,1777992358.069337,26321.039516,1777992358.069337,0.411879,-9.110377,1.255251
gyro,1777992358.067302,26321.039516,1777992358.067302,0.000000,0.003728,-0.003196
accel,1777992358.081070,26321.050653,1777992358.081070,0.411879,-9.110377,1.235638
gyro,1777992358.082306,26321.050653,1777992358.082306,0.001597,0.001065,-0.002129
accel,1777992358.092804,26321.061792,1777992358.092804,0.411879,-9.129991,1.274864
gyro,1777992358.092309,26321.061792,1777992358.092309,0.003728,0.006391,-0.002662
accel,1777992358.104539,26321.072874,1777992358.104539,0.431493,-9.129991,1.255251
gyro,1777992358.102311,26321.072874,1777992358.102311,0.002662,0.000532,-0.002662
accel,1777992358.112362,26321.084087,1777992358.112362,0.411879,-9.110377,1.225831
gyro,1777992358.112314,26321.084087,1777992358.112314,-0.004260,-0.000532,-0.002662
accel,1777992358.124094,26321.095322,1777992358.124094,0.411879,-9.129991,1.255251
gyro,1777992358.122316,26321.095322,1777992358.122316,0.003196,0.002129,-0.003196
accel,1777992358.135826,26321.106259,1777992358.135826,0.411879,-9.110377,1.274864
gyro,1777992358.137320,26321.106259,1777992358.137320,0.001597,0.001597,0.002129
accel,1777992358.147560,26321.117445,1777992358.147560,0.411879,-9.110377,1.235638
gyro,1777992358.147323,26321.117445,1777992358.147323,0.002129,0.003196,-0.002662
accel,1777992358.159293,26321.128670,1777992358.159293,0.402073,-9.110377,1.225831
gyro,1777992358.157325,26321.128670,1777992358.157325,0.003728,0.005859,-0.001597
accel,1777992358.171027,26321.139640,1777992358.171027,0.431493,-9.129991,1.255251
gyro,1777992358.167328,26321.139640,1777992358.167328,-0.001597,-0.002662,0.000532
accel,1777992358.182760,26321.150800,1777992358.182760,0.411879,-9.129991,1.255251
