esp_timestamp_us,host_timestamp_s,unified_time_s,accel_x_raw,accel_y_raw,accel_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temperature_c,fsync_flag
346263571,26321.001370,1777992358.044005,257,-1269,-1557,-3,-2,0,0.125488,-0.619629,-0.760254,-0.183105,-0.122070,0.000000,21.07,0
346264582,26321.001419,1777992358.045016,257,-1268,-1559,-3,-2,-1,0.125488,-0.619141,-0.761230,-0.183105,-0.122070,-0.061035,21.20,0
346265595,26321.001426,1777992358.046029,257,-1266,-1562,-3,-1,-1,0.125488,-0.618164,-0.762695,-0.183105,-0.061035,-0.061035,21.09,0
346266607,26321.001432,1777992358.047041,258,-1265,-1564,-4,-2,0,0.125977,-0.617676,-0.763672,-0.244141,-0.122070,0.000000,21.06,0
346267618,26321.001438,1777992358.048052,258,-1263,-1566,-5,-2,0,0.125977,-0.616699,-0.764648,-0.305176,-0.122070,0.000000,20.89,0
346268632,26321.001444,1777992358.049066,254,-1264,-1564,-4,-2,0,0.124023,-0.617188,-0.763672,-0.244141,-0.122070,0.000000,21.01,0
346269644,26321.001450,1777992358.050078,251,-1265,-1561,-4,-1,-1,0.122559,-0.617676,-0.762207,-0.244141,-0.061035,-0.061035,21.03,0
346270656,26321.001456,1777992358.051090,256,-1266,-1560,-3,0,-2,0.125000,-0.618164,-0.761719,-0.183105,0.000000,-0.122070,21.06,0
346271669,26321.009525,1777992358.052103,258,-1265,-1560,-3,0,0,0.125977,-0.617676,-0.761719,-0.183105,0.000000,0.000000,21.07,0
346272680,26321.009551,1777992358.053114,256,-1263,-1560,-3,-1,0,0.125000,-0.616699,-0.761719,-0.183105,-0.061035,0.000000,21.17,1
346273693,26321.009562,1777992456.032031,254,-1265,-1559,-3,-2,-1,0.124023,-0.617676,-0.761230,-0.183105,-0.122070,-0.061035,21.07,0
346274704,26321.009572,1777992440.587125,254,-1266,-1561,-3,-2,-2,0.124023,-0.618164,-0.762207,-0.183105,-0.122070,-0.122070,21.09,0
